link,recordID,timestamp,pwa,cer,fulltext_org,pageUUID,editionUUID,titleUUID,editionId,familyId,newspaper_page,newspaper_edition,lplace,location_name,location_coordinates
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-_nogroup_,1819-09-03T01:00:00,43.2,09.28,"FrenitySning.\nkovstrcrdeN'. 128.\nHos Undertegnede faacs i Comme sion :\nSkipper P. ?. PotUscn asqaacr cm n.'tilc Doae til Rander., 0., znedtagerFraKtsods. Stibet or beliggende ved Acciseboden under Prisen.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Ho,"8.2229602027,55.5526707867"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_1,1819-09-03T01:00:00,43.2,09.28,"Gen at blive bersvet min trofaste og uforglemmelige Hustru« og deres hulde Moder, Dirre Mortensen, fed Hermansen, 26 ?tar gammel, efter 7 Aars kjerlige ZLgre- fiab. I næsten 1 Aar bar hun mrd fjelden Taalmod Sygdoms Smerter, t!l Gud kaldre hendes «dle-Sjel til ihoighedens Doiiczer, hvor Tanken oin Gzenforening xyder Trsst i mit og mene Smaae« bedcsvedc fjerter. Med Gud Kengiven Sjel Du lcved', leed og dos: ! Derfor jeg klager her med dem, som Du mig fodre! Forklarcd' Dirre! fkuc fra Bvighedens Land ! T:l mig og Dine Smaae paa Livets brede Strand! Vi klage for Dit Savn For hnlde Moders Favn ! Zxun Almagts Raab om Gjenforenings Haab ! Her stands« kan vor bmr« GraadU Hans Mortensen, vognmand. Ar det har behager Forsver den 27 A-tgustar bort, kalde min tndcrltgen elfkede Mand, Peter H.Dorck, ved en hastig Dod, i hans Alders 44 Aar, fra nng og zde Dsrn, maae ?eg forgeltgst rilkjendegive for deeltagendr Sleegr og Venner. R. M. Dorch, fod Eliershsi. I 2ln!«dnjng af Skomagermester Hans Henris Blochs Dod den 24de August 1819. Som Dorger tro og rro som stkttemage Har. air for tidligt endte Livers Dage, Destaiidtg saaes han i huuslig Rreds ivm, kjerlig, altid veltilfreds. Hans Iordilke nu Graven har i Gjemme, Men hans stlrindring uddocr ,tke Ki-mm«. Sxi x xx xx. EfterlvSnino. »Fn bortflsiet Stser ontkes tilbageleverer ak den ret- stadige Finder imod en Douceur tllJsenkrcemmcren paa Alle Sjobmagergade Vtr.77.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Strand\nGraven\nAars,"8.51690405265,55.1622304047\n10.5043265426,56.1334266969\n9.51368182691,56.8025344518"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_11,1819-09-03T01:00:00,43.2,09.28,"Capt. Hans M. Dahl, forende Galeafen Iielena, af- feiler paa Mandag t«l Ri-a, og medtager Pragtgods og Past.tgerer, hvorom Vedkommen di- behage at heaveu.- de dent til Mægierne Mauer Cotitnp.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_3,1819-09-03T01:00:00,43.2,09.28,"Eu Enldbrvsinaal er funden paa Gaden, et redt Bomulds Tortlocde, hvori er neger Snnoiobak m. ni., er ftiutea I Kongens JCftnge, enSolrfxiseskeeer af en Pige panksar dos en Mand, imedens hint fik nog.r Porcellatn tjem fon« Pre-e. Eieme til disse ?i«a lni r.e m«lde dem paa Kj/rentzavnS Pe- Krikammkr fra Kl. 12 til 2 Middag. KuilojiULSvsen.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Middag,"10.4580351353,57.4151316479"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_4,1819-09-03T01:00:00,43.2,09.28,"Efter Forening med H. H. Hr. Provst Gulftld scelges de af ham udgivne: Prcodikener, hol di tie i holmens Kirke fra ist? August kil Ser.' t'mbev Naanods Udgang for halv Bogladepriis ; Eremplaret koster alksaa Netto 2 Nbd. rede Eklv, men fra Octvbec Maaneds Begyndelse koste de igjcn z Rbd. rede Soiv. Kjsbenhavn, den zite Juli 1819. B. Brunnich,",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_7,1819-09-03T01:00:00,43.2,09.28,"Dlandinger, ell r Lccsnirigfor begge Kjen. rsteHcf'e. 60 st. G.R. Molfted Xtimodiqe Vttringer over Billigheden afviar- nercerdiesOmffiivning med Gjendrivelte efde Intven- diugerdcr jremforee herimod, 20 st. heftet. GyldivdaljkeB'gkardling. Modens Gang, en m«rcv«rdig Sang, for Kiodenhavns kdvaar.er« f Ssrdeieebed, og for Atle i Almineeliohid, og en tvang om en llrgkarl, som tog en gammel Jemftue for Penge Ltyid, MMtzgu sfdcn fortryder, fages tiisfyds f»r 4 st. Styk-",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_8,1819-09-03T01:00:00,43.2,09.28,"ket hos Forfatteren Z.E.Udtberg, j Pilestr«det Nr. los, forste SaivoerGaaiden. . i.,,. . De, som fra iste September onflc ar holoe DIadet Dagen, ombedes at miilde dem iStoringaden 204 an> Prof. Rasmussens <1 et danfke afrieanfke Ootnpagniei Historie, med Fortale af Etatsraad Eugelstoft, faaes for 7 Rbmk. hos Brummer. Cr.; det kjobcnbavnste Fatiigvglfen , af Forvalter Moller , er udtommen, dg laaes for 1 nr. i Boaladen dd4 > Gothers« gaden. For ''arteren anbefaler ccrre Sk>ft til enhver uparlilr t«nkcnde Mands Cmdomme.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_9,1819-09-03T01:00:00,43.2,09.28,"forb fiild. i den bcekn.ste Boglade 1 Gorho, »gaden 3 4 Hos Bi'gt:»kker Ran el Hsicrgai.'e ?:r. 6(>, ere svigende B», ger tilljobs : R» Toltchsg. ir.d. holtcr.be 'g Anviitr.ingcr ar til- lave almindelige og l'.tstc Z. iictsi :r 2 4 st. Vedetread for Skue, fri v»dcre , olier Grundrids ar der. droniariUeDigtelnnk 4 n 1. C ni den teraerli e Bv niae -nrfi , for Brgjoelstere eg Arel>: r e- ter 2 mk. Skolet« deller, indheftede 4 st. Ravvorter tllborgerli r Artilleri og Infanteri (> st. fi r. 3'sa. Ucttct fov Gjvrdemrdre - |f. Befragtnings - Contra«,: er. Ccrre sementer. P.rlcr >n. m. Fra Pres,«,, cr ndlouimer. : Een eneste Skolemester blandt tusinde Bern i een Skal«. Er Bidrag tilUnderviisuingsinelkv- hers 04 s?lolediscir!ine»s Forbedring i de lavere Alinurlkoler af Ipsevd Lancaster, Eks!c«o«stcr i vvndoti. pe> rsakafE F. Kvorer, Capellan for Holle ted, Bkrslob og Ho steindvrg M>vigdcder. Derre Kkrist, hvori giv s suldsttriidir Uote. retning vm Larea- steisMerlivde, f-vesh«f:er firymk. hvo K. Kristensen iK oster- Itr«det?l og 72. Skib!eilighed. Eapt. st. kil. >'r>rt aif<n, forende Fregallkiber 5t. Croix , affeilt r medio September iiide værende Aar til St. Croix, og med'ager fragtgods og Pasfagerer. Vedkommende ville beliage desanga.aeride at henvende dem enten ved Skibet, beliggende ved Fabritius'« Plads, t eller til Mægler "" Cbr. A. Jacoblen, 71ronninge>i8 Tvtrgade 2??. Capt. J. J. Trane, forende Skibet Emilie kaldet, agter medio September t aifeile herfra til JVIadera og St. Croix, til hvilke Steder medtages Fragtgods eg Pasfagerer, naar Vedkommende deiom b« bage at henvende dem enten til rkibet, beliggende ved lir. Capt. Kioyers Plads , eller til Mægler S. Hecksber. Capt I,. I.orck, forende Skibet Danmark, agter I Begynd el fm af October Maaned at af.eile herfra tii St. Croix, hvortil »vedtages I ragttods og Passagerer, for hvilke iidft beqven in»' Indretninger haves. Vedkommende ville behage- at henvende dem , »ten vil lir. Capt. Lorck, boende i Krenpi indfe»!egaden 395, eller til M-?gler S. Hfckslier. Capt. Christopher J icobfen, fSretide Chaluppen den lille Carobne, agter med alicr.'difie at aifeile' til I,«- beck, hvortil ban medr ,ger Ira ig< <Is og Pasfagerer.. Vedkommende vide behage at henvende dem enten til Skibet, beliggende ved Toldboden, eller til Mægler S. Hecksher.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Ho\nSkibet,"8.2229602027,55.5526707867\n9.45282702499,55.7111498478"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0f5c6cf7-dc87-43ab-9146-7aa06f078737,doms_newspaperCollection:uuid:0f5c6cf7-dc87-43ab-9146-7aa06f078737-_nogroup_,1819-09-03T01:00:00,44.0,00.56,"Dagen\nRedigeret af D. Didrichsen, Iuft,t<raad.\n3!. t. 5 r u u N.\n_ Fredag\n3 September\nForlag, as Anne Marie salig Z. P. Rostock. Cif,. Tryk. Ho- Br.dren, Rostock.\nflorftnd«., 1 F.'lge Kongelig allernådigst Tilladelf«, med Pakkepostvrn« i Danmark eg hrrtngd.mmene\nEpilog, fremsagt af Hc. Skuesplier Kråse, i c en n.iesnu.ng af »andSdocpigen. den 3v.1t August.",doms_aviser_page:uuid:0f5c6cf7-dc87-43ab-9146-7aa06f078737,doms_aviser_edition:uuid:e38e49fc-0828-4528-9e30-141cc061464e,doms_aviser_title:uuid:bd3d6e3e-f5e7-4fa8-b7a6-a3571348ce4d,dagen1803 1819-09-03 001,dagen1803,1,1,København,Ho,"8.2229602027,55.5526707867"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0f5c6cf7-dc87-43ab-9146-7aa06f078737,doms_newspaperCollection:uuid:0f5c6cf7-dc87-43ab-9146-7aa06f078737-segment_10,1819-09-03T01:00:00,44.0,00.56,"H.«d „ug! irg b'abe ter, ded stadig Fi, o Jeg macaen Kunstven« Hadersgunst har vundet, £>i qtaa velstguer »eg den sttøune and, Som af u»» Ungdvmvbane hr er rundet.",doms_aviser_page:uuid:0f5c6cf7-dc87-43ab-9146-7aa06f078737,doms_aviser_edition:uuid:e38e49fc-0828-4528-9e30-141cc061464e,doms_aviser_title:uuid:bd3d6e3e-f5e7-4fa8-b7a6-a3571348ce4d,dagen1803 1819-09-03 001,dagen1803,1,1,København,,
